Date,ID,CO2_sensor_avg,CO2_sensor_max,
1/3/2021 23:50,18823,910,1261,9.91
1/3/2021 23:55,18824,814,935,9.87
1/4/2021 0:00,18825,745.7,824,9.81
1/4/2021 0:05,18826,728.5,892,9.74
1/4/2021 0:10,18827,755.2,886,9.7
1/4/2021 0:15,18828,775.9,889,9.64
1/4/2021 0:20,18829,749.4,784.1,9.6
1/4/2021 0:25,18830,769.7,906,9.55
1/4/2021 0:30,18831,746,833,9.5
1/4/2021 0:35,18832,763.4,869,9.47
1/4/2021 0:40,18833,677.1,687.9,9.41
1/4/2021 0:45,18834,653.9,707.1,9.36
1/4/2021 0:50,18835,694.4,711.4,9.33
1/4/2021 0:55,18836,702,737.8,9.29
1/4/2021 1:00,18837,831,1142,9.24
1/4/2021 1:05,18838,748.1,952,9.22
1/4/2021 1:10,18839,676.7,713.7,9.17
1/4/2021 1:15,18840,806,933,9.14
1/4/2021 1:20,18841,865,1018,9.1
1/4/2021 1:25,18842,748.4,883,9.05
1/4/2021 1:30,18843,710.9,747.7,9.03
1/4/2021 1:35,18844,806,978,8.98
1/4/2021 1:40,18845,707,762.4,8.94
1/4/2021 1:45,18846,1070,1470,8.91
1/4/2021 1:50,18847,1171,1479,8.86
1/4/2021 1:55,18848,1051,1820,8.82
1/4/2021 2:00,18849,1041,1198,8.8
1/4/2021 2:05,18850,1134,2243,8.73
1/4/2021 2:10,18851,875,1397,8.7
1/4/2021 2:15,18852,867,1117,8.67
1/4/2021 2:20,18853,1194,1665,8.61
1/4/2021 2:25,18854,636.8,740.8,8.57
1/4/2021 2:30,18855,738.7,819,8.53
1/4/2021 2:35,18856,879,1117,8.49
1/4/2021 2:40,18857,660.2,726.6,8.44
1/4/2021 2:45,18858,755.5,804,8.39
1/4/2021 2:50,18859,755.2,892,8.35
1/4/2021 2:55,18860,783.8,869,8.32
1/4/2021 3:00,18861,861,1043,8.27
1/4/2021 3:05,18862,722.9,778.5,8.22
1/4/2021 3:10,18863,843,1185,8.18
1/4/2021 3:15,18864,886,1583,8.16
1/4/2021 3:20,18865,762.4,879,8.11
1/4/2021 3:25,18866,1304,1610,8.07
1/4/2021 3:30,18867,813,970,8.04
1/4/2021 3:35,18868,688.6,721.8,8.02
1/4/2021 3:40,18869,705.5,729.6,7.984
1/4/2021 3:45,18870,716.7,776.7,7.937
1/4/2021 3:50,18871,808,1025,7.917
1/4/2021 3:55,18872,768.4,968,7.903
1/4/2021 4:00,18873,745.5,816,7.877
1/4/2021 4:05,18874,912,1261,7.844
1/4/2021 4:10,18875,693.1,797.3,7.805
1/4/2021 4:15,18876,693.3,724.2,7.779
1/4/2021 4:20,18877,686.7,757.7,7.77
1/4/2021 4:25,18878,764.7,870,7.73
1/4/2021 4:30,18879,737,810,7.719
1/4/2021 4:35,18880,654.3,687,7.695
1/4/2021 4:40,18881,653.4,729,7.66
1/4/2021 4:45,18882,625.1,657,7.652
1/4/2021 4:50,18883,881,1236,7.634
1/4/2021 4:55,18884,828,1241,7.599
1/4/2021 5:00,18885,964,1804,7.582
1/4/2021 5:05,18886,914,1296,7.576
1/4/2021 5:10,18887,640,651.8,7.55
1/4/2021 5:15,18888,659,697,7.521
1/4/2021 5:20,18889,659,711.3,7.51
1/4/2021 5:25,18890,653.1,708.9,7.491
1/4/2021 5:30,18891,613,658.9,7.464
1/4/2021 5:35,18892,671.1,705.6,7.436
1/4/2021 5:40,18893,679.2,772,7.415
1/4/2021 5:45,18894,626.8,654.1,7.403
1/4/2021 5:50,18895,631.7,670.3,7.376
1/4/2021 5:55,18896,1041,1473,7.343
1/4/2021 6:00,18897,747.5,1110,7.317
1/4/2021 6:05,18898,663.7,735.9,7.318
1/4/2021 6:10,18899,613.6,627.1,7.291
1/4/2021 6:15,18900,700.6,941,7.252
1/4/2021 6:20,18901,724.6,976,7.243
1/4/2021 6:25,18902,624.8,651.7,7.225
1/4/2021 6:30,18903,626.2,657.7,7.197
1/4/2021 6:35,18904,624.8,653.4,7.19
1/4/2021 6:40,18905,612,632.5,7.157
1/4/2021 6:45,18906,616.8,706.1,7.122
1/4/2021 6:50,18907,839,947,7.109
1/4/2021 6:55,18908,849,1065,7.088
1/4/2021 7:00,18909,746.2,889,7.063
1/4/2021 7:05,18910,775.6,919,7.051
1/4/2021 7:10,18911,1002,1490,7.048
1/4/2021 7:15,18912,654.7,744.8,7.024
1/4/2021 7:20,18913,806,1121,6.999
1/4/2021 7:25,18914,589.6,687.5,6.984
1/4/2021 7:30,18915,609.5,623.1,6.963
1/4/2021 7:35,18916,625.4,667.6,6.925
1/4/2021 7:40,18917,602.5,637.2,6.889
1/4/2021 7:45,18918,711.4,906,6.879
1/4/2021 7:50,18919,594.2,600.6,6.855
1/4/2021 7:55,18920,583.8,609.5,6.819
1/4/2021 8:00,18921,636.3,647.3,6.799
1/4/2021 8:05,18922,581.5,631.1,6.787
1/4/2021 8:10,18923,596.7,621.3,6.749
1/4/2021 8:15,18924,634.6,671.7,6.723
1/4/2021 8:20,18925,817,1101,6.704
1/4/2021 8:25,18926,675.5,738.9,6.686
1/4/2021 8:30,18927,765.8,934,6.655
1/4/2021 8:35,18928,714.8,814,6.632
1/4/2021 8:40,18929,701,794.5,6.62
