time,co2,lat,lon,alt
2021-02-08 15:23:39,420,35.1942252,-106.5965291,1551.22
2021-02-08 15:23:40,420,35.1942238,-106.5965232,1551.21
2021-02-08 15:23:41,420,35.1942222,-106.5965171,1551.2
2021-02-08 15:23:42,420,35.1942207,-106.596511,1551.18
2021-02-08 15:23:43,420,35.1942191,-106.5965048,1551.16
2021-02-08 15:23:44,420,35.1942175,-106.5964988,1551.15
2021-02-08 15:23:45,420,35.1942158,-106.5964927,1551.16
2021-02-08 15:23:46,420,35.1942141,-106.5964867,1551.15
2021-02-08 15:23:47,420,35.1942124,-106.5964806,1551.14
2021-02-08 15:23:48,420,35.1942106,-106.5964744,1551.14
2021-02-08 15:23:49,422.9512013,35.1942089,-106.5964682,1551.14
2021-02-08 15:23:50,423.126472093,35.1942071,-106.5964618,1551.11
2021-02-08 15:23:51,423.304815879,35.1942052,-106.5964554,1551.11
2021-02-08 15:23:52,423.491582238,35.1942034,-106.5964488,1551.11
2021-02-08 15:23:53,423.67764758,35.1942016,-106.5964423,1551.11
2021-02-08 15:23:54,423.870901984,35.1941997,-106.5964356,1551.09
2021-02-08 15:23:55,424.062006838,35.1941978,-106.596429,1551.08
2021-02-08 15:23:56,424.250536381,35.194196,-106.5964225,1551.07
2021-02-08 15:23:57,424.447932567,35.1941943,-106.5964157,1551.04
2021-02-08 15:23:58,424.643655165,35.1941925,-106.5964089,1551
2021-02-08 15:23:59,424.843731502,35.1941908,-106.5964019,1550.98
2021-02-08 15:24:00,425.050901476,35.1941893,-106.5963946,1550.94
2021-02-08 15:24:01,425.257087398,35.1941878,-106.5963872,1550.88
2021-02-08 15:24:02,425.463910973,35.1941863,-106.5963796,1550.85
2021-02-08 15:24:03,425.66433293,35.1941848,-106.596372,1550.81
2021-02-08 15:24:04,425.865206458,35.1941833,-106.5963641,1550.76
2021-02-08 15:24:05,426.059333015,35.1941818,-106.5963561,1550.69
2021-02-08 15:24:06,426.242713915,35.1941803,-106.5963481,1550.64
2021-02-08 15:24:07,426.419858352,35.1941787,-106.5963398,1550.59
2021-02-08 15:24:08,426.579581279,35.194177,-106.5963316,1550.55
2021-02-08 15:24:09,426.720546007,35.194175,-106.5963234,1550.51
2021-02-08 15:24:10,426.845691389,35.1941729,-106.5963151,1550.44
2021-02-08 15:24:11,426.953146031,35.1941709,-106.5963069,1550.39
2021-02-08 15:24:12,427.038812483,35.1941686,-106.5962987,1550.35
2021-02-08 15:24:13,427.109801051,35.1941664,-106.5962903,1550.31
2021-02-08 15:24:14,427.160502511,35.1941642,-106.596282,1550.27
2021-02-08 15:24:15,427.193535253,35.1941621,-106.5962737,1550.21
2021-02-08 15:24:16,427.207892125,35.19416,-106.5962653,1550.13
2021-02-08 15:24:17,427.202451259,35.1941579,-106.5962571,1550.04
2021-02-08 15:24:18,427.178835677,35.1941558,-106.5962491,1550.01
2021-02-08 15:24:19,427.13731186,35.1941536,-106.5962413,1549.95
2021-02-08 15:24:20,427.083868404,35.1941516,-106.5962337,1549.93
2021-02-08 15:24:21,427.018085771,35.1941497,-106.5962262,1549.9
2021-02-08 15:24:22,426.942849004,35.1941478,-106.5962192,1549.87
2021-02-08 15:24:23,426.862925529,35.1941461,-106.5962126,1549.86
2021-02-08 15:24:24,426.780652951,35.1941447,-106.5962063,1549.85
2021-02-08 15:24:25,426.697378394,35.1941434,-106.5962005,1549.86
2021-02-08 15:24:26,426.612698295,35.1941421,-106.5961951,1549.87
2021-02-08 15:24:27,426.532052016,35.194141,-106.5961902,1549.89
2021-02-08 15:24:28,426.451610369,35.1941399,-106.5961856,1549.9
2021-02-08 15:24:29,426.379373698,35.194139,-106.5961816,1549.92
2021-02-08 15:24:30,426.31498293,35.1941383,-106.5961781,1549.93
2021-02-08 15:24:31,426.258226544,35.1941377,-106.5961751,1549.94
2021-02-08 15:24:32,426.20677704,35.1941374,-106.5961723,1549.92
2021-02-08 15:24:33,426.168674215,35.1941373,-106.5961702,1549.98
2021-02-08 15:24:34,426.138904267,35.1941372,-106.5961686,1550.07
2021-02-08 15:24:35,426.11604803,35.1941371,-106.5961674,1550.15
2021-02-08 15:24:36,426.100559353,35.1941372,-106.5961665,1550.25
2021-02-08 15:24:37,426.089664663,35.1941374,-106.5961658,1550.3
2021-02-08 15:24:38,426.085295246,35.1941377,-106.5961654,1550.34
2021-02-08 15:24:39,426.083607121,35.1941379,-106.5961652,1550.4
2021-02-08 15:24:40,426.087523313,35.1941381,-106.5961653,1550.5
2021-02-08 15:24:41,426.09517651,35.1941383,-106.5961656,1550.56
2021-02-08 15:24:42,426.103854187,35.1941386,-106.5961659,1550.6
2021-02-08 15:24:43,426.113565482,35.194139,-106.5961662,1550.61
2021-02-08 15:24:44,426.124103888,35.1941393,-106.5961666,1550.62
2021-02-08 15:24:45,426.138334278,35.1941396,-106.5961672,1550.65
2021-02-08 15:24:46,426.150438004,35.1941397,-106.5961678,1550.72
2021-02-08 15:24:47,426.165369397,35.1941399,-106.5961685,1550.76
2021-02-08 15:24:48,426.180237629,35.1941401,-106.5961692,1550.8
2021-02-08 15:24:49,426.195784525,35.1941402,-106.59617,1550.85
2021-02-08 15:24:50,426.208371921,35.1941402,-106.5961707,1550.92
2021-02-08 15:24:51,426.220164989,35.1941403,-106.5961713,1550.97
2021-02-08 15:24:52,426.231903161,35.1941404,-106.5961719,1550.99
2021-02-08 15:24:53,426.240742964,35.1941404,-106.5961724,1551.02
2021-02-08 15:24:54,426.251031013,35.1941407,-106.5961728,1551.04
2021-02-08 15:24:55,426.256041923,35.194141,-106.5961729,1551.06
2021-02-08 15:24:56,426.256859201,35.1941414,-106.5961727,1551.05
2021-02-08 15:24:57,426.258750455,35.1941419,-106.5961725,1551.06
2021-02-08 15:24:58,426.258155599,35.1941425,-106.5961721,1551.05
2021-02-08 15:24:59,426.25609101,35.1941433,-106.5961715,1551.04
2021-02-08 15:25:00,426.250289659,35.1941441,-106.5961707,1551.07
2021-02-08 15:25:01,426.241712491,35.194145,-106.5961697,1551.08
2021-02-08 15:25:02,426.235017931,35.1941461,-106.5961687,1551.14
2021-02-08 15:25:03,426.226149051,35.1941472,-106.5961676,1551.16
2021-02-08 15:25:04,426.219298057,35.1941487,-106.5961664,1551.22
2021-02-08 15:25:05,426.209003985,35.1941501,-106.5961651,1551.26
2021-02-08 15:25:06,426.203403089,35.1941518,-106.5961639,1551.31
2021-02-08 15:25:07,426.199481928,35.1941537,-106.5961627,1551.37
2021-02-08 15:25:08,426.192093071,35.1941559,-106.5961612,1551.39
2021-02-08 15:25:09,426.187157451,35.1941584,-106.5961597,1551.42
2021-02-08 15:25:10,426.18358799,35.1941611,-106.5961582,1551.43
2021-02-08 15:25:11,426.182406451,35.1941641,-106.5961567,1551.44
2021-02-08 15:25:12,426.181486069,35.1941672,-106.5961552,1551.43
2021-02-08 15:25:13,426.181636237,35.1941707,-106.5961536,1551.45
2021-02-08 15:25:14,426.181883042,35.1941743,-106.596152,1551.45
2021-02-08 15:25:15,426.183238607,35.1941781,-106.5961504,1551.45
2021-02-08 15:25:16,426.183182111,35.1941821,-106.5961487,1551.44
2021-02-08 15:25:17,426.18299124,35.1941862,-106.596147,1551.41
2021-02-08 15:25:18,426.180008108,35.1941904,-106.5961452,1551.39
2021-02-08 15:25:19,426.177693542,35.1941948,-106.5961434,1551.36
2021-02-08 15:25:20,426.173928599,35.1941992,-106.5961416,1551.34
2021-02-08 15:25:21,426.165840748,35.1942036,-106.5961397,1551.32
2021-02-08 15:25:22,426.15997666,35.1942081,-106.5961379,1551.29
2021-02-08 15:25:23,426.156486056,35.1942127,-106.5961362,1551.27
2021-02-08 15:25:24,426.148425088,35.1942173,-106.5961344,1551.27
2021-02-08 15:25:25,426.13962886,35.194222,-106.5961326,1551.26
2021-02-08 15:25:26,426.124583173,35.1942269,-106.5961306,1551.25
2021-02-08 15:25:27,426.104019535,35.1942318,-106.5961285,1551.23
2021-02-08 15:25:28,426.080464655,35.194237,-106.5961263,1551.24
2021-02-08 15:25:29,426.050628748,35.1942422,-106.596124,1551.25
2021-02-08 15:25:30,426.015065858,35.1942475,-106.5961216,1551.25
2021-02-08 15:25:31,425.973345096,35.1942529,-106.5961191,1551.27
2021-02-08 15:25:32,425.921269575,35.1942584,-106.5961164,1551.26
2021-02-08 15:25:33,425.869621449,35.194264,-106.5961138,1551.27
2021-02-08 15:25:34,425.809826757,35.1942696,-106.5961111,1551.26
2021-02-08 15:25:35,425.746297002,35.1942753,-106.5961084,1551.24
2021-02-08 15:25:36,425.674706883,35.1942811,-106.5961056,1551.22
2021-02-08 15:25:37,425.598783422,35.194287,-106.5961028,1551.19
2021-02-08 15:25:38,425.513385911,35.1942929,-106.5960999,1551.14
2021-02-08 15:25:39,425.422571598,35.1942988,-106.596097,1551.08
2021-02-08 15:25:40,425.326289259,35.1943047,-106.5960941,1551.04
2021-02-08 15:25:41,425.220423312,35.1943107,-106.5960911,1550.94
2021-02-08 15:25:42,425.113382221,35.1943167,-106.5960882,1550.85
2021-02-08 15:25:43,424.995697306,35.1943226,-106.5960852,1550.75
2021-02-08 15:25:44,424.881849255,35.1943285,-106.5960824,1550.65
2021-02-08 15:25:45,424.762654508,35.1943344,-106.5960796,1550.6
2021-02-08 15:25:46,424.638163625,35.1943403,-106.5960768,1550.54
2021-02-08 15:25:47,424.503664,35.1943463,-106.5960739,1550.46
2021-02-08 15:25:48,424.368759861,35.1943521,-106.5960711,1550.41
2021-02-08 15:25:49,424.228945365,35.194358,-106.5960683,1550.37
2021-02-08 15:25:50,424.093781734,35.1943641,-106.5960657,1550.31
2021-02-08 15:25:51,423.94856818,35.1943703,-106.596063,1550.27
2021-02-08 15:25:52,423.788048079,35.1943767,-106.5960601,1550.24
2021-02-08 15:25:53,423.616128948,35.1943835,-106.5960571,1550.21
2021-02-08 15:25:54,423.428458728,35.1943905,-106.5960539,1550.2
2021-02-08 15:25:55,423.225993121,35.1943976,-106.5960505,1550.19
2021-02-08 15:25:56,423.017573145,35.194405,-106.5960471,1550.17
2021-02-08 15:25:57,422.805722551,35.1944124,-106.5960437,1550.13
2021-02-08 15:25:58,422.595933567,35.1944198,-106.5960404,1550.09
2021-02-08 15:25:59,422.388008941,35.1944273,-106.5960372,1550.05
2021-02-08 15:26:00,422.176492897,35.1944347,-106.5960339,1550
2021-02-08 15:26:01,421.974048771,35.1944421,-106.5960308,1549.98
2021-02-08 15:26:02,420,35.1944495,-106.5960276,1549.95
2021-02-08 15:26:03,420,35.194457,-106.5960245,1549.91
2021-02-08 15:26:04,420,35.1944645,-106.5960213,1549.86
2021-02-08 15:26:05,420,35.194472,-106.5960182,1549.78
2021-02-08 15:26:06,420,35.1944795,-106.5960151,1549.74
2021-02-08 15:26:07,420,35.1944871,-106.5960119,1549.68
2021-02-08 15:26:08,420,35.1944946,-106.5960088,1549.64
2021-02-08 15:26:09,420,35.1945022,-106.5960056,1549.62
2021-02-08 15:26:10,420,35.1945099,-106.5960023,1549.58
2021-02-08 15:26:11,420,35.1945176,-106.5959989,1549.56
2021-02-08 15:26:12,420,35.1945254,-106.5959955,1549.53
2021-02-08 15:26:13,420,35.1945334,-106.5959921,1549.5
2021-02-08 15:26:14,420,35.1945413,-106.5959887,1549.51
2021-02-08 15:26:15,420,35.1945492,-106.5959853,1549.54
2021-02-08 15:26:16,420,35.1945573,-106.5959817,1549.52
2021-02-08 15:26:17,420,35.1945654,-106.595978,1549.5
2021-02-08 15:26:18,420,35.1945734,-106.5959744,1549.48
2021-02-08 15:26:19,420,35.1945816,-106.5959708,1549.43
2021-02-08 15:26:20,420,35.1945899,-106.5959672,1549.39
2021-02-08 15:26:21,420,35.194598,-106.5959638,1549.36
2021-02-08 15:26:22,420,35.1946062,-106.5959602,1549.29
2021-02-08 15:26:23,420,35.1946145,-106.5959566,1549.25
2021-02-08 15:26:24,420,35.1946228,-106.5959529,1549.21
2021-02-08 15:26:25,420,35.1946311,-106.5959492,1549.17
2021-02-08 15:26:26,420,35.1946394,-106.5959456,1549.13
2021-02-08 15:26:27,420,35.1946478,-106.595942,1549.06
2021-02-08 15:26:28,420,35.1946561,-106.5959385,1549.02
2021-02-08 15:26:29,420,35.1946644,-106.5959349,1548.97
2021-02-08 15:26:30,420,35.1946728,-106.5959314,1548.91
2021-02-08 15:26:31,420,35.1946811,-106.595928,1548.84
2021-02-08 15:26:32,420,35.1946895,-106.5959245,1548.8
2021-02-08 15:26:33,420,35.1946977,-106.5959209,1548.76
2021-02-08 15:26:34,420,35.1947059,-106.5959173,1548.71
2021-02-08 15:26:35,420,35.1947142,-106.5959136,1548.69
2021-02-08 15:26:36,420,35.1947227,-106.59591,1548.66
2021-02-08 15:26:37,420,35.1947312,-106.5959061,1548.63
2021-02-08 15:26:38,420,35.1947397,-106.595902,1548.62
2021-02-08 15:26:39,420,35.1947483,-106.5958979,1548.62
2021-02-08 15:26:40,420,35.1947568,-106.5958937,1548.61
2021-02-08 15:26:41,420,35.1947653,-106.5958894,1548.58
2021-02-08 15:26:42,420,35.1947737,-106.595885,1548.56
2021-02-08 15:26:43,420,35.1947819,-106.5958807,1548.51
2021-02-08 15:26:44,420,35.1947902,-106.5958763,1548.5
2021-02-08 15:26:45,420,35.1947982,-106.5958721,1548.47
2021-02-08 15:26:46,420,35.1948062,-106.5958679,1548.45
2021-02-08 15:26:47,420,35.194814,-106.5958639,1548.47
2021-02-08 15:26:48,420,35.1948217,-106.5958601,1548.49
2021-02-08 15:26:49,420,35.1948292,-106.5958565,1548.53
2021-02-08 15:26:50,420,35.1948366,-106.595853,1548.55
2021-02-08 15:26:51,420,35.1948439,-106.5958496,1548.55
2021-02-08 15:26:52,420,35.1948507,-106.5958465,1548.55
2021-02-08 15:26:53,420,35.1948574,-106.5958435,1548.58
2021-02-08 15:26:54,420,35.1948637,-106.5958409,1548.61
2021-02-08 15:26:55,420,35.1948697,-106.5958385,1548.62
2021-02-08 15:26:56,420,35.1948753,-106.5958364,1548.62
2021-02-08 15:26:57,420,35.1948805,-106.5958346,1548.62
2021-02-08 15:26:58,420,35.1948853,-106.5958329,1548.68
2021-02-08 15:26:59,420,35.1948896,-106.5958315,1548.8
2021-02-08 15:27:00,420,35.1948936,-106.5958301,1548.91
2021-02-08 15:27:01,420,35.1948974,-106.5958285,1549.02
2021-02-08 15:27:02,420,35.1949006,-106.595827,1549.16
2021-02-08 15:27:03,420,35.1949035,-106.5958255,1549.28
2021-02-08 15:27:04,420,35.194906,-106.5958239,1549.4
2021-02-08 15:27:05,420,35.1949081,-106.5958222,1549.51
2021-02-08 15:27:06,420,35.1949097,-106.5958208,1549.65
2021-02-08 15:27:07,420,35.1949107,-106.5958195,1549.8
2021-02-08 15:27:08,420,35.1949116,-106.5958183,1549.93
2021-02-08 15:27:09,420,35.1949121,-106.5958174,1550.03
