time, co2, lat, lon, alt
2021-01-04 08:01:00, 443.02, 35.8258669, -106.6554308, 2036.18645711
2021-01-04 08:01:00.100049, 442.96, 35.8258668, -106.6554307, 2036.16645696
2021-01-04 08:01:00.200034, 442.92, 35.8258668, -106.6554307, 2036.15645696
2021-01-04 08:01:00.300040, 442.88, 35.8258668, -106.6554307, 2036.14645696
2021-01-04 08:01:00.399975, 442.81, 35.8258668, -106.6554307, 2036.13645696
2021-01-04 08:01:00.502040, 442.75, 35.8258668, -106.6554307, 2036.11645696
2021-01-04 08:01:00.602238, 442.71, 35.8258668, -106.6554307, 2036.10645696
2021-01-04 08:01:00.701865, 442.68, 35.8258668, -106.6554307, 2036.09645696
2021-01-04 08:01:00.801864, 442.66, 35.8258668, -106.6554308, 2036.09645688
2021-01-04 08:01:00.902444, 442.69, 35.8258669, -106.6554308, 2036.08645711
2021-01-04 08:01:01.002120, 442.71, 35.8258669, -106.6554308, 2036.07645711
2021-01-04 08:01:01.101964, 442.73, 35.8258669, -106.6554309, 2036.06645703
2021-01-04 08:01:01.201869, 442.74, 35.825867, -106.6554309, 2036.05645726
2021-01-04 08:01:01.301836, 442.81, 35.825867, -106.655431, 2036.05645718
2021-01-04 08:01:01.402359, 442.9, 35.8258671, -106.6554311, 2036.04645732
2021-01-04 08:01:01.501923, 442.97, 35.8258672, -106.6554313, 2036.03645739
2021-01-04 08:01:01.601900, 443.08, 35.8258673, -106.6554314, 2036.03645754
2021-01-04 08:01:01.700050, 443.26, 35.8258673, -106.6554315, 2036.03645746
2021-01-04 08:01:01.800131, 443.44, 35.8258674, -106.6554316, 2036.03645761
2021-01-04 08:01:01.899999, 443.63, 35.8258675, -106.6554318, 2036.02645768
2021-01-04 08:01:02.000019, 443.82, 35.8258676, -106.6554319, 2036.02645783
2021-01-04 08:01:02.099976, 444.02, 35.8258677, -106.6554321, 2036.0264579
2021-01-04 08:01:02.200091, 444.27, 35.8258677, -106.6554323, 2036.02645774
2021-01-04 08:01:02.299959, 444.5, 35.8258678, -106.6554324, 2036.02645789
2021-01-04 08:01:02.401973, 444.73, 35.8258678, -106.6554326, 2036.02645773
2021-01-04 08:01:02.501838, 444.95, 35.8258679, -106.6554328, 2036.03645779
2021-01-04 08:01:02.601813, 445.17, 35.8258679, -106.655433, 2036.03645763
2021-01-04 08:01:02.701914, 445.33, 35.8258679, -106.6554331, 2036.05645755
2021-01-04 08:01:02.801924, 445.5, 35.8258679, -106.6554332, 2036.06645747
2021-01-04 08:01:02.901858, 445.63, 35.8258679, -106.6554334, 2036.07645731
2021-01-04 08:01:03.001944, 445.78, 35.8258678, -106.6554335, 2036.09645701
2021-01-04 08:01:03.100130, 445.89, 35.8258678, -106.6554336, 2036.10645693
2021-01-04 08:01:03.200090, 445.97, 35.8258677, -106.6554336, 2036.1164567
2021-01-04 08:01:03.300166, 446.03, 35.8258677, -106.6554337, 2036.12645662
2021-01-04 08:01:03.400187, 446.03, 35.8258676, -106.6554337, 2036.14645639
2021-01-04 08:01:03.500031, 446.03, 35.8258676, -106.6554336, 2036.15645647
2021-01-04 08:01:03.600036, 445.97, 35.8258675, -106.6554336, 2036.15645624
2021-01-04 08:01:03.700015, 445.93, 35.8258675, -106.6554335, 2036.16645632
2021-01-04 08:01:03.801747, 445.85, 35.8258675, -106.6554334, 2036.1664564
2021-01-04 08:01:03.902293, 445.79, 35.8258674, -106.6554333, 2036.17645625
2021-01-04 08:01:04.001796, 445.75, 35.8258674, -106.6554332, 2036.17645633
2021-01-04 08:01:04.101824, 445.72, 35.8258673, -106.6554331, 2036.18645618
2021-01-04 08:01:04.202156, 445.69, 35.8258673, -106.655433, 2036.18645626
2021-01-04 08:01:04.300102, 445.77, 35.8258672, -106.6554329, 2036.18645611
2021-01-04 08:01:04.400030, 445.88, 35.8258672, -106.6554327, 2036.18645627
2021-01-04 08:01:04.500052, 446.07, 35.8258671, -106.6554326, 2036.19645612
2021-01-04 08:01:04.599966, 446.36, 35.8258671, -106.6554325, 2036.2064562
2021-01-04 08:01:04.700024, 446.78, 35.825867, -106.6554324, 2036.21645605
2021-01-04 08:01:04.800187, 447.3, 35.8258669, -106.6554323, 2036.22645591
2021-01-04 08:01:04.900022, 447.89, 35.8258669, -106.6554322, 2036.23645599
2021-01-04 08:01:05.001725, 448.59, 35.8258668, -106.6554321, 2036.23645584
2021-01-04 08:01:05.101970, 449.41, 35.8258667, -106.655432, 2036.23645569
2021-01-04 08:01:05.202033, 450.34, 35.8258667, -106.655432, 2036.23645569
2021-01-04 08:01:05.302469, 451.34, 35.8258666, -106.655432, 2036.22645546
2021-01-04 08:01:05.400340, 452.44, 35.8258666, -106.655432, 2036.20645546
2021-01-04 08:01:05.500011, 453.63, 35.8258667, -106.6554321, 2036.18645561
2021-01-04 08:01:05.600121, 454.88, 35.8258668, -106.6554322, 2036.16645576
2021-01-04 08:01:05.700022, 456.17, 35.825867, -106.6554323, 2036.14645613
2021-01-04 08:01:05.800027, 457.44, 35.8258672, -106.6554325, 2036.11645643
2021-01-04 08:01:05.899984, 458.76, 35.8258675, -106.6554327, 2036.08645696
2021-01-04 08:01:06.000098, 460.05, 35.8258679, -106.6554329, 2036.04645771
2021-01-04 08:01:06.101641, 461.28, 35.8258683, -106.6554332, 2036.00645839
2021-01-04 08:01:06.202250, 462.51, 35.8258688, -106.6554334, 2035.95645937
2021-01-04 08:01:06.302385, 463.63, 35.8258694, -106.6554337, 2035.90646051
2021-01-04 08:01:06.402014, 464.68, 35.82587, -106.655434, 2035.85646164
2021-01-04 08:01:06.500776, 465.67, 35.8258708, -106.6554344, 2035.79646315
2021-01-04 08:01:06.600088, 466.52, 35.8258714, -106.6554348, 2035.74646421
2021-01-04 08:01:06.700194, 467.31, 35.8258722, -106.6554353, 2035.67646564
2021-01-04 08:01:06.799934, 467.95, 35.8258731, -106.6554357, 2035.61646738
2021-01-04 08:01:06.899961, 468.54, 35.8258741, -106.6554363, 2035.54646919
2021-01-04 08:01:06.999962, 469.03, 35.8258751, -106.6554368, 2035.46647108
2021-01-04 08:01:07.099989, 469.4, 35.8258762, -106.6554374, 2035.39647311
2021-01-04 08:01:07.201791, 469.67, 35.8258773, -106.6554381, 2035.32647507
2021-01-04 08:01:07.301894, 469.88, 35.8258785, -106.6554387, 2035.26647734
2021-01-04 08:01:07.401835, 469.99, 35.8258796, -106.6554394, 2035.2064793
2021-01-04 08:01:07.501859, 470.01, 35.825881, -106.6554403, 2035.13648178
2021-01-04 08:01:07.601529, 470.03, 35.825882, -106.655441, 2035.09648351
2021-01-04 08:01:07.700073, 470.0, 35.8258831, -106.6554417, 2035.05648547
2021-01-04 08:01:07.800380, 469.92, 35.8258843, -106.6554424, 2035.01648765
2021-01-04 08:01:07.899989, 469.86, 35.8258855, -106.6554432, 2034.97648976
2021-01-04 08:01:07.999969, 469.81, 35.8258865, -106.6554439, 2034.94649149
2021-01-04 08:01:08.099995, 469.78, 35.8258876, -106.6554445, 2034.92649353
2021-01-04 08:01:08.199977, 469.75, 35.8258886, -106.6554451, 2034.90649534
2021-01-04 08:01:08.301860, 469.78, 35.8258895, -106.6554455, 2034.88649708
2021-01-04 08:01:08.402269, 469.86, 35.8258904, -106.6554459, 2034.86649882
2021-01-04 08:01:08.502054, 470.01, 35.8258913, -106.6554464, 2034.85650048
2021-01-04 08:01:08.602211, 470.24, 35.8258919, -106.6554466, 2034.84650169
2021-01-04 08:01:08.701717, 470.5, 35.8258926, -106.6554468, 2034.83650313
2021-01-04 08:01:08.800251, 470.86, 35.8258931, -106.655447, 2034.83650412
2021-01-04 08:01:08.900196, 471.28, 35.8258936, -106.6554471, 2034.83650518
2021-01-04 08:01:09.000090, 471.75, 35.8258941, -106.6554472, 2034.83650625
2021-01-04 08:01:09.100387, 472.37, 35.8258944, -106.6554471, 2034.83650701
2021-01-04 08:01:09.200011, 473.03, 35.8258948, -106.6554471, 2034.83650793
2021-01-04 08:01:09.300340, 473.78, 35.8258951, -106.655447, 2034.8365087
2021-01-04 08:01:09.400163, 474.66, 35.8258953, -106.6554468, 2034.84650931
2021-01-04 08:01:09.501891, 475.62, 35.8258956, -106.6554465, 2034.86651024
2021-01-04 08:01:09.602083, 476.66, 35.8258957, -106.6554464, 2034.86651055
2021-01-04 08:01:09.702083, 477.75, 35.8258958, -106.6554462, 2034.86651094
2021-01-04 08:01:09.803241, 478.93, 35.8258958, -106.6554459, 2034.86651118
2021-01-04 08:01:09.900202, 480.23, 35.8258958, -106.6554457, 2034.85651134
2021-01-04 08:01:09.999988, 481.56, 35.8258958, -106.6554454, 2034.84651158
2021-01-04 08:01:10.099982, 482.98, 35.8258957, -106.6554451, 2034.83651159
2021-01-04 08:01:10.200216, 482.98, 35.8258956, -106.6554448, 2034.8265116
2021-01-04 08:01:10.300003, 484.46, 35.8258955, -106.6554446, 2034.81651153
2021-01-04 08:01:10.399994, 485.99, 35.8258953, -106.6554443, 2034.80651132
2021-01-04 08:01:10.500032, 487.55, 35.8258951, -106.655444, 2034.8065111
2021-01-04 08:01:10.601774, 489.14, 35.825895, -106.6554437, 2034.79651111
2021-01-04 08:01:10.701947, 490.75, 35.8258948, -106.6554435, 2034.78651081
2021-01-04 08:01:10.801819, 492.33, 35.8258946, -106.6554432, 2034.78651059
2021-01-04 08:01:10.902633, 493.87, 35.8258944, -106.655443, 2034.7865103
2021-01-04 08:01:11.000329, 495.35, 35.8258942, -106.6554428, 2034.77651
2021-01-04 08:01:11.100017, 496.77, 35.8258941, -106.6554427, 2034.77650985
2021-01-04 08:01:11.200208, 498.1, 35.8258939, -106.6554425, 2034.77650955
2021-01-04 08:01:11.299981, 499.36, 35.8258937, -106.6554424, 2034.77650917
2021-01-04 08:01:11.400141, 500.51, 35.8258935, -106.6554423, 2034.7765088
2021-01-04 08:01:11.500124, 501.53, 35.8258933, -106.6554421, 2034.7665085
2021-01-04 08:01:11.600231, 502.46, 35.8258931, -106.6554421, 2034.76650804
2021-01-04 08:01:11.701858, 503.21, 35.8258929, -106.655442, 2034.76650766
2021-01-04 08:01:11.801958, 503.82, 35.8258927, -106.6554419, 2034.76650728
2021-01-04 08:01:11.901800, 504.28, 35.8258925, -106.6554419, 2034.75650683
2021-01-04 08:01:12.002015, 504.62, 35.8258923, -106.6554418, 2034.75650645
2021-01-04 08:01:12.100129, 504.78, 35.8258921, -106.6554418, 2034.75650599
2021-01-04 08:01:12.200053, 504.79, 35.8258919, -106.6554418, 2034.75650553
2021-01-04 08:01:12.300072, 504.69, 35.8258916, -106.6554417, 2034.74650493
2021-01-04 08:01:12.400018, 504.46, 35.8258914, -106.6554418, 2034.74650439
2021-01-04 08:01:12.500041, 504.07, 35.8258912, -106.6554418, 2034.75650393
2021-01-04 08:01:12.600036, 503.63, 35.8258911, -106.6554418, 2034.7565037
2021-01-04 08:01:12.700067, 503.08, 35.8258909, -106.6554419, 2034.76650316
2021-01-04 08:01:12.801895, 502.46, 35.8258908, -106.6554419, 2034.76650294
2021-01-04 08:01:12.902111, 501.79, 35.8258907, -106.655442, 2034.76650263
2021-01-04 08:01:13.001889, 501.07, 35.8258906, -106.6554421, 2034.75650232
2021-01-04 08:01:13.103365, 500.32, 35.8258905, -106.6554421, 2034.75650209
2021-01-04 08:01:13.201142, 499.6, 35.8258904, -106.6554423, 2034.7565017
2021-01-04 08:01:13.300008, 498.85, 35.8258903, -106.6554423, 2034.74650147
2021-01-04 08:01:13.400222, 498.13, 35.8258903, -106.6554425, 2034.73650131
2021-01-04 08:01:13.500005, 497.44, 35.8258902, -106.6554426, 2034.726501
2021-01-04 08:01:13.600207, 496.76, 35.8258902, -106.6554427, 2034.72650092
2021-01-04 08:01:13.700259, 496.14, 35.8258902, -106.6554428, 2034.71650084
2021-01-04 08:01:13.800218, 495.58, 35.8258902, -106.6554429, 2034.71650076
2021-01-04 08:01:13.901788, 495.05, 35.8258902, -106.6554431, 2034.7165006
2021-01-04 08:01:14.001796, 494.55, 35.8258902, -106.6554432, 2034.70650052
2021-01-04 08:01:14.102195, 494.12, 35.8258902, -106.6554433, 2034.70650044
2021-01-04 08:01:14.202435, 493.75, 35.8258902, -106.6554435, 2034.69650028
2021-01-04 08:01:14.302683, 493.36, 35.8258902, -106.6554436, 2034.6865002
2021-01-04 08:01:14.400395, 493.02, 35.8258902, -106.6554437, 2034.68650012
2021-01-04 08:01:14.500075, 492.71, 35.8258903, -106.6554438, 2034.68650027
2021-01-04 08:01:14.601065, 492.43, 35.8258904, -106.6554439, 2034.68650042
2021-01-04 08:01:14.701090, 492.16, 35.8258904, -106.6554441, 2034.68650026
2021-01-04 08:01:14.800973, 491.91, 35.8258905, -106.6554442, 2034.68650041
2021-01-04 08:01:14.900009, 491.61, 35.8258906, -106.6554443, 2034.68650056
2021-01-04 08:01:15.000003, 491.34, 35.8258907, -106.6554445, 2034.68650062
2021-01-04 08:01:15.101836, 491.09, 35.8258909, -106.6554446, 2034.686501
2021-01-04 08:01:15.201915, 490.84, 35.825891, -106.6554446, 2034.68650123
2021-01-04 08:01:15.301885, 490.55, 35.8258912, -106.6554447, 2034.68650161
2021-01-04 08:01:15.402239, 490.23, 35.8258915, -106.6554447, 2034.6865023
2021-01-04 08:01:15.500186, 489.89, 35.8258918, -106.6554447, 2034.68650298
2021-01-04 08:01:15.600223, 489.53, 35.8258921, -106.6554447, 2034.68650367
2021-01-04 08:01:15.699927, 489.1, 35.8258925, -106.6554447, 2034.68650459
2021-01-04 08:01:15.799956, 488.62, 35.8258929, -106.6554447, 2034.6865055
2021-01-04 08:01:15.899948, 488.05, 35.8258934, -106.6554447, 2034.68650665
2021-01-04 08:01:15.999950, 487.42, 35.8258939, -106.6554446, 2034.68650787
2021-01-04 08:01:16.100017, 486.69, 35.8258944, -106.6554446, 2034.69650902
2021-01-04 08:01:16.201710, 485.88, 35.8258949, -106.6554446, 2034.69651016
2021-01-04 08:01:16.301819, 484.96, 35.8258954, -106.6554447, 2034.69651122
2021-01-04 08:01:16.401854, 483.96, 35.8258959, -106.6554447, 2034.69651237
2021-01-04 08:01:16.504576, 482.9, 35.8258964, -106.6554447, 2034.70651351
2021-01-04 08:01:16.602387, 481.74, 35.8258968, -106.6554447, 2034.70651443
2021-01-04 08:01:16.702449, 480.51, 35.8258972, -106.6554447, 2034.71651535
2021-01-04 08:01:16.801820, 479.22, 35.8258976, -106.6554448, 2034.72651618
2021-01-04 08:01:16.901688, 477.84, 35.8258981, -106.6554448, 2034.73651733
2021-01-04 08:01:17.001846, 476.45, 35.8258984, -106.6554448, 2034.74651801
2021-01-04 08:01:17.101852, 474.99, 35.8258988, -106.6554448, 2034.76651893
2021-01-04 08:01:17.201854, 473.53, 35.8258992, -106.6554448, 2034.77651984
2021-01-04 08:01:17.301883, 472.08, 35.8258995, -106.6554448, 2034.78652053
2021-01-04 08:01:17.401933, 470.64, 35.8258999, -106.6554448, 2034.78652145
2021-01-04 08:01:17.501895, 469.19, 35.8259003, -106.6554448, 2034.78652236
2021-01-04 08:01:17.601917, 467.8, 35.8259006, -106.6554448, 2034.79652305
2021-01-04 08:01:17.701925, 466.4, 35.8259009, -106.6554447, 2034.79652382
2021-01-04 08:01:17.800291, 465.09, 35.8259012, -106.6554447, 2034.7965245
2021-01-04 08:01:17.900211, 463.8, 35.8259015, -106.6554446, 2034.79652527
2021-01-04 08:01:17.999939, 462.58, 35.8259018, -106.6554446, 2034.78652596
2021-01-04 08:01:18.100027, 461.41, 35.825902, -106.6554445, 2034.78652649
2021-01-04 08:01:18.200011, 460.33, 35.8259022, -106.6554444, 2034.78652703
2021-01-04 08:01:18.299960, 460.33, 35.8259024, -106.6554443, 2034.78652757
2021-01-04 08:01:18.399996, 459.26, 35.8259026, -106.6554443, 2034.78652803
2021-01-04 08:01:18.501852, 458.26, 35.8259027, -106.6554442, 2034.77652834
2021-01-04 08:01:18.601904, 457.35, 35.8259028, -106.6554441, 2034.77652865
