time, co2, lat, lon, alt
2020-06-10 11:00:00, 422.11, 35.8261224, -106.6551809, 2024.08724199
2020-06-10 11:00:01.001809, 425.79, 35.8261217, -106.6551823, 2024.10723927
2020-06-10 11:00:02.000476, 426.63, 35.8261213, -106.6551838, 2024.15723715
2020-06-10 11:00:03.000514, 427.89, 35.8261213, -106.6551853, 2024.18723595
2020-06-10 11:00:04.001185, 430.07, 35.8261217, -106.6551869, 2024.24723559
2020-06-10 11:00:05.000173, 431.19, 35.8261223, -106.6551885, 2024.28723568
2020-06-10 11:00:05.998867, 432.18, 35.8261226, -106.6551904, 2024.32723484
2020-06-10 11:00:07.000330, 434.39, 35.8261224, -106.6551923, 2024.37723287
2020-06-10 11:00:07.998621, 436.82, 35.8261216, -106.6551942, 2024.37722951
2020-06-10 11:00:08.999942, 437.44, 35.8261205, -106.6551959, 2024.36722563
2020-06-10 11:00:09.998694, 435.97, 35.8261193, -106.6551974, 2024.41722169
2020-06-10 11:00:11.000373, 435.07, 35.8261183, -106.6551989, 2024.4472182
2020-06-10 11:00:11.998561, 434.81, 35.8261172, -106.6552001, 2024.46721472
2020-06-10 11:00:13.000183, 434.19, 35.8261161, -106.6552008, 2024.46721164
2020-06-10 11:00:14.000120, 434.43, 35.8261148, -106.6552012, 2024.43720835
2020-06-10 11:00:15.000567, 434.51, 35.8261134, -106.655201, 2024.3772053
2020-06-10 11:00:16.000879, 432.67, 35.826112, -106.6552004, 2024.33720258
2020-06-10 11:00:17.002839, 431.52, 35.8261106, -106.6552, 2024.3371997
2020-06-10 11:00:18.000202, 432.04, 35.8261094, -106.6551994, 2024.32719743
2020-06-10 11:00:18.998820, 432.81, 35.8261085, -106.6551986, 2024.33719601
2020-06-10 11:00:20.000423, 433.62, 35.8261078, -106.6551981, 2024.35719481
2020-06-10 11:00:20.998949, 433.23, 35.8261071, -106.6551973, 2024.32719385
2020-06-10 11:00:22.000630, 430.73, 35.8261064, -106.6551964, 2024.26719297
